source,target,type,mechanism,weight,confidence
event/bc0bbd0f,event/0f9fae9a,EMOTIONAL_SUPPORT,The narrator's inquiry prompts a caring response towards the boy.,0.7,0.8
event/54497bfd,event/74ccc784,EMOTIONAL_TRIGGER,The man's sudden action provoked a violent threat.,0.8,0.9
event/25a6f65b,event/29562b8e,CULTURAL_EDUCATION,The lozenges symbolize cultural memory influencing belief.,0.7,0.8
event/9b820157,event/ad9fa25a,EMOTIONAL_TRIGGER,Fear triggered a physical response of clinging.,0.8,0.9
event/2870468f,event/c08726c2,BELIEF_DISMISSAL,The narrator's belief about others contrasts with their own physical state.,0.7,0.8
event/a0a78fa3,event/330900e1,PHYSICAL_ACTION,Mud smothering may lead to injury from flints.,0.7,0.6
event/6ebeec43,event/45b40fde,EMOTIONAL_CONFESSION,Narrator's feelings about parents expressed through tombstone reflections.,0.8,0.85
event/0f9fae9a,event/406323a2,EMOTIONAL_SUPPORT,Providing food indicates care and support for the person.,0.8,0.85
event/bcdb90bb,event/7e42bd5f,ANGER_MISPLACEMENT,The man's anger may have led to the appearance of the grey man.,0.7,0.8
event/d8205350,event/9b820157,EMOTIONAL_TRIGGER,Feeling danger triggers a strong emotional response of fear.,0.8,0.9
event/1950f794,event/6cab01b7,PHYSICAL_ACTION,Looking down indicates a physical action prompting closer inspection.,0.7,0.8
event/04cffd6d,event/07ee8f41,HUMANITY_QUESTIONING,The sight prompts reflection on justice and morality.,0.8,0.85
event/97eb5c67,event/7a66ea7e,DECISION_MAKING,Considering leads to questioning about living arrangements.,0.7,0.8
event/5249725d,event/0a6e3f75,IMAGINARY_CONSTRUCTION,Wishful thinking creates a surreal perception of reality.,0.7,0.8
event/50e1756f,event/4789009d,EMOTIONAL_TRIGGER,The church's self-awareness triggered a strong emotional response in me.,0.8,0.75
event/0dbcaeee,event/18403b28,EMOTIONAL_TRIGGER,"The hug evokes a response from the dead, symbolizing emotional connection.",0.7,0.8
event/d83c9303,event/f10afe12,EMOTIONAL_TRIGGER,The phrase evokes feelings of doubt about existence.,0.7,0.8
event/d3581bfa,event/b05b9034,PHYSICAL_ACTION,Hiding involves physical movement to conceal oneself.,0.8,0.9
event/eecb67a7,event/c4761f76,NAMING_CONVENTION,Infant's limited speech led to the simplified name Pip.,0.8,0.9
event/c93a13e6,event/137cd39a,COMMUNICATION_BARRIER,Uncertainty in familial relationships hinders clear communication.,0.7,0.8
event/bad18f59,event/da957808,EMOTIONAL_TRIGGER,Hope expressed triggered a strong emotional attachment to the tombstone.,0.8,0.85
event/df67b8c3,event/ce0ab9ee,BELIEF_DISMISSAL,The narrator's belief about their brothers is challenged.,0.7,0.8
event/dc857b80,event/eb57ee77,HUMOROUS_REMARK,The man's playful insult creates a humorous dynamic.,0.7,0.8
event/df67b8c3,event/5471ff4f,BELIEF_DISMISSAL,The narrator's belief influences their perception of the marsh country.,0.7,0.8
event/d40a45ee,event/83d241cc,REQUEST_ACCEPTANCE,The man's words indicate a request for information.,0.7,0.8
event/3a80d581,event/d8205350,EMOTIONAL_TRIGGER,Helplessness triggered feelings of danger.,0.8,0.85
event/791fb243,event/c15c5023,PHYSICAL_ACTION,Seizing indicates a physical action leading to a stare.,0.8,0.9
event/a40bbbe5,event/d40a45ee,PHYSICAL_ACTION,The speaker's request prompts a physical response from the man.,0.8,0.85
event/b05b9034,event/73ef5f36,EMOTIONAL_SUPPORT,The boy's action provides him a sense of safety.,0.8,0.9
event/7e04e8df,event/06fa367b,EMOTIONAL_TRIGGER,The cold environment triggered a whimsical desire for transformation.,0.7,0.8
event/ad3c2706,event/6b2240e6,EMOTIONAL_TRIGGER,The narrator's emotional state prompts reflection on others' perceptions.,0.7,0.8
event/01a87a42,event/f052e150,PHYSICAL_ACTION,The act of emptying pockets led to tilting.,0.8,0.9
event/df67b8c3,event/6275bb97,BELIEF_DISMISSAL,The narrator's belief about their brothers is challenged.,0.8,0.85
event/908fb546,event/472f7ead,PHYSICAL_ACTION,Demanding leads to physical interaction between characters.,0.7,0.8
event/c3d74bf8,event/31475e77,CONFUSES,Childish conclusion leads to misunderstanding of the inscription.,0.7,0.8
event/137cd39a,event/7a66ea7e,COMMUNICATION_BARRIER,"Acknowledgment leads to questioning, indicating a barrier in understanding.",0.7,0.8
event/aac65812,event/4cf2cced,CONTRASTS,The description of marshes contrasts with the sky's appearance.,0.8,0.9
event/d90075b7,event/1aa70bc2,CONTRASTS,The convict highlights differences between himself and the young man.,0.8,0.9
event/d90075b7,event/d3581bfa,CONTRASTS,The convict's self-comparison highlights the boy's attempt to evade.,0.7,0.8
event/81f0fce2,event/c02405c7,PRECEDES,Navigating obstacles leads to reaching the wall.,0.8,0.9
event/1a4d495b,event/4b2b7b04,EMOTIONAL_TRIGGER,Threatening the devil evokes a protective response in the man.,0.7,0.8
event/d3a42f5d,event/d90075b7,EMOTIONAL_TRIGGER,Fearful terms evoke self-reflection in the convict.,0.7,0.8
event/64ffeb85,event/406323a2,REQUEST_ACCEPTANCE,The promise to deliver the file implies a commitment to meet.,0.8,0.9
event/dd507b69,event/528b0aa9,EMOTIONAL_DESPAIR,The father's burial evokes feelings of loss and absence.,0.8,0.85
event/9331dec2,event/4cf2cced,EMOTIONAL_TRIGGER,Sore feet may evoke feelings of frustration or anger reflected in the sky's appearance.,0.7,0.8
event/bc0bbd0f,event/83becb47,COMMUNICATION_BARRIER,"The question creates a pause, leading to the narrator's action.",0.7,0.8
event/b9931f87,event/bc0bbd0f,PROTECTIVE_INSTINCT,"The narrator's action protects the boy, prompting communication.",0.8,0.9
event/d3a42f5d,event/0bb472f7,EMOTIONAL_TRIGGER,Fearful terms provoke a demand from the convict.,0.7,0.8
event/31475e77,event/25a6f65b,HISTORICAL_COMPARISON,The inscription connects past memories to the sacred lozenges.,0.7,0.8
event/b05b9034,event/847c1aa3,CRUELTY_PLEASURE,The boy's action leads to a violent reaction from the young man.,0.8,0.9
event/6e01ea97,event/de543a5d,PHYSICAL_SENSATION,"Nettle sting causes physical discomfort, leading to shivering.",0.8,0.9
event/25a6f65b,event/df67b8c3,BELIEF_DISMISSAL,The sacred lozenges challenge the narrator's belief about their brothers.,0.7,0.8
event/d83c9303,event/7a66ea7e,COMMUNICATION_BARRIER,The phrase creates confusion about the other person's living situation.,0.7,0.8
event/cc8e470d,event/11b8a93a,EMOTIONAL_TRIGGER,The man's action provokes a critical question about survival.,0.8,0.9
event/83becb47,event/4cf2cced,EMOTIONAL_TRIGGER,The narrator's action evokes a strong emotional response reflected in the sky's appearance.,0.8,0.75
event/92dc74d9,event/bcdb90bb,EMOTIONAL_DESPAIR,"Pip's fear leads to emotional distress, triggering the man's anger.",0.7,0.8
event/5471ff4f,event/ce220e71,HISTORICAL_COMPARISON,Describing the marsh country leads to recognizing its historical significance as a churchyard.,0.7,0.8
event/330900e1,event/60ee9681,PHYSICAL_DETERIORATION,Both events describe the man's physical injuries.,0.8,0.9
event/71084a15,event/a07696fc,PHYSICAL_ACTION,The narrator's request led to a physical response from him.,0.8,0.9
event/e47bc000,event/77da28e9,PRECEDES,Setting face towards home suggests movement before looking back.,0.8,0.9
event/3cb6e82e,event/66eba364,EMOTIONAL_TRIGGER,The question evokes a reaction causing him to look back.,0.7,0.8
event/38afdaad,event/df67b8c3,BELIEF_DISMISSAL,The narrator's perception of their mother influences their beliefs about siblings.,0.7,0.8
event/fa585dbd,event/e420ea7a,PHYSICAL_ACTION,Locking the door leads to the action of drawing clothes over his head.,0.7,0.8
event/6eb6b4b4,event/ad3c2706,EMOTIONAL_TRIGGER,The implication triggered a strong emotional response in the narrator.,0.8,0.85
event/cb00cf25,event/fa585dbd,EMOTIONAL_TRIGGER,Fear triggers Pip's action of locking the door.,0.8,0.9
event/f83fad21,event/634a0b39,PHYSICAL_ACTION,Water exposure may have led to vulnerability to stones.,0.7,0.6
event/3e82d3ad,event/472f7ead,PHYSICAL_CONFRONTATION,Threat leads to physical aggression between characters.,0.8,0.85
event/de543a5d,event/93908411,EMOTIONAL_TRIGGER,Shivering may trigger a growl as a response to discomfort.,0.7,0.8
event/1d560019,event/6c6aba38,EMOTIONAL_TRIGGER,The comment provoked a defensive reaction from the man.,0.7,0.8
event/c3d74bf8,event/38afdaad,CONFUSES,Childish conclusion led to a misunderstanding of the mother's appearance.,0.7,0.8
event/6275bb97,event/27304873,BELIEF_DISMISSAL,The narrator's belief influences their reflective impression.,0.7,0.8
event/ad9fa25a,event/71084a15,EMOTIONAL_SUPPORT,The narrator seeks stability through physical connection.,0.8,0.85
event/ee56a4d3,event/69ebf212,IMAGINARY_CONSTRUCTION,The narrator constructs an imagined image of his father.,0.8,0.9
event/53a8df5d,event/259a0370,COMMUNICATION_BARRIER,Misunderstanding leads to feelings of threat.,0.7,0.8
event/18403b28,event/4a853fd7,EMOTIONAL_TRIGGER,The sight of the dead evokes a strong emotional response.,0.7,0.8
event/7e04e8df,event/5249725d,EMOTIONAL_TRIGGER,The cold environment triggers a desire for escape.,0.7,0.8
event/9331dec2,event/83becb47,INTERRUPTION_RESPONSE,The narrator's action is a response to the man's struggle.,0.7,0.8
event/c3d74bf8,event/5624f7e6,EMOTIONAL_TRIGGER,Childish conclusion evokes emotions related to loss and memory.,0.7,0.8
event/66eba364,event/0b21f30f,PRECEDES,Looking over his shoulder indicates awareness before returning.,0.8,0.85
event/5004b332,event/71084a15,EMOTIONAL_TRIGGER,Giddiness prompted the narrator's request for support.,0.7,0.8
event/7e42bd5f,event/6f922036,CONTRASTS,The man's appearance contrasts with his lack of a hat.,0.7,0.8
event/b9931f87,event/cf519e83,PHYSICAL_ACTION,The narrator's action directly influences the young man's aggression.,0.8,0.9
event/ce220e71,event/479606d4,PRECEDES,The narrator's discovery occurs before learning of Philip Pirrip's death.,0.9,0.95
event/29ac16ba,event/2703628c,EMOTIONAL_TRIGGER,The cattle's gaze triggered the narrator's fear.,0.8,0.85
event/940c0686,event/f68be030,PHYSICAL_ACTION,Limping indicates a physical struggle leading to his return.,0.8,0.85
event/c02405c7,event/1f311084,PRECEDES,"Event A occurs before Event B, enabling the action.",0.9,0.95
event/dab6faca,event/1aa70bc2,IRONIC_RESPONSE,The convict's statement contrasts his violent threat with a claim of being an angel.,0.8,0.9
event/cde886cd,event/d65ae510,PHYSICAL_ACTION,Distance to church prompts physical reaction from the man.,0.7,0.6
event/3cb6e82e,event/dab6faca,PRECEDES,The man's question triggers the convict's threat towards Pip.,0.8,0.9
event/940c0686,event/29ac16ba,EMOTIONAL_TRIGGER,The man's limp evokes curiosity and concern in the narrator.,0.7,0.8
event/25c1e993,event/3cb6e82e,EMOTIONAL_TRIGGER,Desire to suppress emotions triggers inquiry about Pip's mother.,0.7,0.8
event/e3ce79f1,event/07ee8f41,CONTRASTS,Describing the beacon as ugly contrasts with the observation of the gibbet.,0.8,0.85
event/73ef5f36,event/1e48ec60,EMOTIONAL_TRIGGER,The boy's comfort triggers the young man's protective instincts.,0.7,0.8
event/de543a5d,event/775a9234,PHYSICAL_SENSATION,Shivering causes teeth to chatter as a physical response to cold.,0.8,0.9
event/f20e1e1e,event/c93a13e6,EMOTIONAL_CONFESSION,Identifying Georgiana prompts a familial inquiry about the father.,0.8,0.9
event/4b2b7b04,event/f83fad21,PHYSICAL_ACTION,The rag suggests a physical action related to water exposure.,0.7,0.8
event/436ae544,event/f10afe12,EMOTIONAL_TRIGGER,Muttering triggered feelings of uncertainty regarding life rights.,0.7,0.8
event/ce0ab9ee,event/5471ff4f,CULTURAL_EDUCATION,Narrator's belief influences their description of the environment.,0.7,0.8
event/ccc343f0,event/3b2c34cb,EMOTIONAL_TRIGGER,Desire to eat triggered emotional response related to loss.,0.7,0.8
event/d385a7e1,event/d40a45ee,EMOTIONAL_TRIGGER,The speaker's terror prompted the man's urgent response.,0.8,0.85
event/bcdb90bb,event/6f922036,ANGER_MISPLACEMENT,Anger may be misdirected towards the absence of a hat.,0.7,0.6
event/4671b937,event/80bca57a,DECISION_MAKING,Uncertainty in decision leads to identification of a character.,0.7,0.8
event/6c6aba38,event/ccc343f0,EMOTIONAL_TRIGGER,Threatening gesture triggered a desire for comfort through eating.,0.7,0.8
event/ce0ab9ee,event/6275bb97,BELIEF_DISMISSAL,Narrator's belief leads to dismissing brothers' agency.,0.7,0.8
event/908fb546,event/5004b332,EMOTIONAL_TRIGGER,The character's demands triggered a giddy emotional response in the narrator.,0.7,0.8
event/6eb6b4b4,event/29ac16ba,EMOTIONAL_TRIGGER,The man's presence evokes curiosity in the cattle.,0.7,0.8
event/eb57ee77,event/f5d426e6,HUMOROUS_REMARK,The address implies a playful or humorous tone.,0.7,0.8
event/cb00cf25,event/b05b9034,EMOTIONAL_TRIGGER,Fear triggers Pip's instinct to protect himself.,0.8,0.9
event/6ede448a,event/c4406c70,INTERRUPTION_RESPONSE,The run interrupted the speaker's confidence.,0.7,0.6
event/ee56a4d3,event/7a5f0777,EMOTIONAL_TRIGGER,Reflection triggers odd perceptions about parental figures.,0.7,0.8
event/25a6f65b,event/ce0ab9ee,NOSTALGIA_INDUCEMENT,The lozenges evoke memories of the narrator's brothers.,0.8,0.85
event/64ffeb85,event/a13c3531,EMOTIONAL_TRIGGER,The promise triggered a strong emotional response from the man.,0.7,0.8
event/f68be030,event/ad3c2706,EMOTIONAL_TRIGGER,The man's action triggered the narrator's emotional response.,0.7,0.8
event/84cb3426,event/5d85d43b,EMOTIONAL_TRIGGER,The comment provokes a negative emotional response in the man.,0.7,0.8
event/c0c0ea2b,event/afa43b06,PRECEDES,The upright position suggests readiness before the convict's revelation.,0.7,0.8
event/259a0370,event/f052e150,PHYSICAL_ACTION,Threat perception leads to a physical reaction.,0.7,0.8
event/0a6e3f75,event/18403b28,HUMANITY_QUESTIONING,Event A evokes existential themes about death and the afterlife.,0.8,0.85
event/ad3c2706,event/8470b653,EMOTIONAL_TRIGGER,The narrator's emotional state prompts a search for the source of distress.,0.8,0.85
event/74ccc784,event/7e42bd5f,VIOLENCE_RESOLUTION,"Threat leads to appearance of a man, possibly as a resolution to violence.",0.7,0.6
event/c4761f76,event/e03b7025,NAMING_CONVENTION,Pip's name reflects his family heritage.,0.8,0.9
event/2a78aa1e,event/b05b9034,ENABLING,Being warm allows the boy to comfortably tuck himself up.,0.8,0.9
event/66eba364,event/c4406c70,EMOTIONAL_TRIGGER,"Looking over the shoulder may indicate anxiety, triggering a timid response.",0.7,0.8
event/92dc74d9,event/54497bfd,EMOTIONAL_TRIGGER,Pip's fear triggers a startling event.,0.8,0.85
event/3f8a01a5,event/d65ae510,PHYSICAL_ACTION,The village's flat terrain may have influenced the man's action.,0.7,0.6
event/bad18f59,event/3b2c34cb,EMOTIONAL_TRIGGER,Hope expression triggered a strong emotional response at the tombstone.,0.8,0.85
event/436ae544,event/7a66ea7e,EMOTIONAL_TRIGGER,Muttering may trigger questioning about relationships.,0.7,0.8
event/92dc74d9,event/74ccc784,EMOTIONAL_DESPAIR,Pip's fear leads to emotional distress in response to the threat.,0.8,0.85
event/84cb3426,event/1950f794,HUMOROUS_REMARK,The remark triggers a humorous or ironic response.,0.7,0.8
event/3e82d3ad,event/5004b332,EMOTIONAL_TRIGGER,Threatening actions evoke strong emotional responses.,0.8,0.85
event/29ac16ba,event/8470b653,EMOTIONAL_TRIGGER,The cattle's gaze triggers the narrator's anxiety about the young man.,0.7,0.8
event/e537167d,event/3cb6e82e,EMOTIONAL_TRIGGER,The man's statement triggers concern about Pip's mother.,0.7,0.8
event/6cab01b7,event/7335f94f,EMOTIONAL_TRIGGER,The man's approach evokes a strong emotional response in the narrator.,0.8,0.85
event/0648414d,event/2703628c,EMOTIONAL_TRIGGER,Lack of signs triggered the narrator's fear.,0.8,0.85
event/3e82d3ad,event/ad9fa25a,EMOTIONAL_TRIGGER,Threatening action provokes a strong emotional response from the narrator.,0.8,0.85
event/67e5ad2b,event/bad18f59,EMOTIONAL_APOLOGY,Weakness prompts a sincere expression of hope.,0.7,0.8
event/eb57ee77,event/c08726c2,EMOTIONAL_TRIGGER,The term 'young dog' triggers feelings of inadequacy in Pip.,0.7,0.8
event/d65ae510,event/42ebf187,PHYSICAL_ACTION,The man's action caused the empty pockets.,0.8,0.9
event/53a8df5d,event/f052e150,CONFUSES,The question creates confusion leading to a physical reaction.,0.7,0.8
event/afa43b06,event/cb00cf25,EMOTIONAL_TRIGGER,The convict's revelation triggers Pip's fear response.,0.8,0.9
event/42ebf187,event/dc857b80,EMOTIONAL_TRIGGER,The empty pockets evoke a sense of desperation leading to dramatic actions.,0.7,0.8
event/93a78db4,event/555154c1,EMOTIONAL_TRIGGER,Stopping triggered an emotional response leading to the exclamation.,0.7,0.8
event/8470b653,event/2703628c,EMOTIONAL_TRIGGER,The search for the young man triggered fear in the narrator.,0.8,0.9
event/b9931f87,event/64ffeb85,PROTECTIVE_INSTINCT,"The narrator's action prevents harm, leading to a promise of assistance.",0.8,0.85
event/06fa367b,event/0dbcaeee,EMOTIONAL_TRIGGER,Desire to transform triggers emotional response and self-comfort.,0.7,0.8
event/6eb6b4b4,event/6b2240e6,HUMOROUS_REMARK,The implication creates a humorous connection between the man and cattle's perception.,0.7,0.8
event/1a0f6f2b,event/25c1e993,EMOTIONAL_TRIGGER,Desire to maintain composure triggers emotional restraint.,0.8,0.85
event/1150011f,event/9687e721,COMMUNICATION_BARRIER,"The conversation led to a directive, indicating a barrier in understanding.",0.7,0.8
event/e47bc000,event/971a9be1,EMOTIONAL_CONTAGION,"The act of returning home evokes a sense of comfort, affecting his emotional state.",0.7,0.8
event/92d5c1a0,event/fb74b832,EMOTIONAL_SUPPORT,Hope for attendance indicates a desire for connection.,0.7,0.8
event/791fb243,event/d385a7e1,PHYSICAL_CONFRONTATION,The man's action caused the speaker's fearful reaction.,0.8,0.9
event/1f311084,event/4a853fd7,PRECEDES,Climbing the wall led to looking back.,0.8,0.85
event/d65ae510,event/01a87a42,PHYSICAL_ACTION,Turning upside down leads to pockets being emptied.,0.8,0.9
event/93908411,event/775a9234,EMOTIONAL_TRIGGER,The growl triggers a physical response of chattering teeth.,0.7,0.8
event/1802e08c,event/2dc1096d,PHYSICAL_ACTION,Seeing the steeple indicates a physical location change.,0.7,0.8
event/0bb472f7,event/dab6faca,VIOLENCE_RESOLUTION,Threat escalates due to unmet demands.,0.8,0.9
event/14cc7149,event/1a4d495b,EMOTIONAL_TRIGGER,The man's cry triggers a reaction in the little devil.,0.7,0.8
event/2703628c,event/b073c17f,EMOTIONAL_TRIGGER,Fear triggered the narrator's urgent response to run home.,0.8,0.9
event/4555633c,event/d83735eb,EMOTIONAL_TRIGGER,Reminding evokes feelings related to the young man's undertaking.,0.7,0.8
event/551fcc32,event/e47bc000,PRECEDES,The action of leaving occurs before the decision to return home.,0.8,0.9
event/64ffeb85,event/0f9fae9a,EMOTIONAL_APOLOGY,Expressing regret through offering food after failing to deliver the file.,0.7,0.8
event/f68be030,event/29ac16ba,EMOTIONAL_TRIGGER,The man's action evokes a response from the cattle.,0.7,0.8
event/4142d1d4,event/f83fad21,PHYSICAL_DETERIORATION,Broken shoes likely led to water exposure.,0.7,0.8
event/847c1aa3,event/cf519e83,PHYSICAL_CONFRONTATION,The young man's aggression leads to a struggle with the narrator.,0.8,0.9
event/d385a7e1,event/a40bbbe5,EMOTIONAL_TRIGGER,Terror prompted a desperate plea for safety.,0.8,0.9
event/f10afe12,event/80bca57a,HUMANITY_QUESTIONING,Uncertainty about life rights prompts reflection on character identity.,0.7,0.8
event/e176cf95,event/77da28e9,PHYSICAL_ACTION,Using legs enabled the action of looking over the shoulder.,0.8,0.9
event/f20e1e1e,event/0b21f30f,EMOTIONAL_CONFESSION,Identifying Georgiana as mother may evoke emotional responses prompting his return.,0.7,0.8
event/4e86e5e2,event/a07696fc,EMOTIONAL_TRIGGER,Hope expressed triggers a positive physical response.,0.7,0.8
event/69ebf212,event/38afdaad,IDENTITY_CONFLICT,Narrator's perception of father contrasts with mother's appearance.,0.7,0.8
event/80bca57a,event/5d85d43b,EMOTIONAL_TRIGGER,Joe's identification evokes a negative emotional response in the man.,0.7,0.8
event/a0a78fa3,event/60ee9681,PHYSICAL_ACTION,Mud smothering may lead to physical harm from briars.,0.7,0.8
event/a13c3531,event/d83735eb,EMOTIONAL_TRIGGER,The man's words evoke a strong emotional response related to the young man.,0.7,0.8
event/e537167d,event/1a0f6f2b,HUMOROUS_REMARK,The man's statement humorously suggests a dark thought about eating.,0.7,0.8
event/555154c1,event/137cd39a,EMOTIONAL_TRIGGER,Exclamation triggers acknowledgment of others' presence.,0.7,0.8
event/da957808,event/137cd39a,EMOTIONAL_SUPPORT,"Holding onto the tombstone signifies emotional connection, prompting acknowledgment of others.",0.7,0.8
event/1e48ec60,event/36504ca4,PREVENTS,The young man's approach hinders the narrator's ability to protect the boy.,0.8,0.85
event/7a66ea7e,event/80bca57a,COMMUNICATION_BARRIER,Questioning indicates a lack of understanding about relationships.,0.7,0.8
event/7a5f0777,event/c3d74bf8,CONFUSES,Misinterpretation of father's letters leads to confusion about mother.,0.7,0.8
event/60ee9681,event/4e4735ab,EMOTIONAL_TRIGGER,The pain from briars triggered the man's glare.,0.8,0.85
event/1a0f6f2b,event/66940d31,EMOTIONAL_TRIGGER,The desire to be remembered triggered his reaction.,0.7,0.8
event/d90075b7,event/cb00cf25,IDENTITY_CONFLICT,The convict's comparison triggers Pip's fear of threats.,0.7,0.8
event/27304873,event/ce220e71,EMOTIONAL_TRIGGER,Reflection triggers realization about the churchyard's significance.,0.7,0.8
event/259a0370,event/d8205350,EMOTIONAL_TRIGGER,Threatening questions can evoke feelings of danger.,0.8,0.85
event/1950f794,event/cc8e470d,PHYSICAL_ACTION,Looking down prompts a physical response from the man.,0.7,0.8
event/9f2fbb8c,event/c08726c2,PERCEPTION_SHIFT,The perception of the lair influences the narrator's self-image.,0.7,0.8
event/69ebf212,event/5624f7e6,IMAGINARY_CONSTRUCTION,Narrator's imagination shapes perception of father's identity and legacy.,0.7,0.8
event/775a9234,event/a40bbbe5,EMOTIONAL_TRIGGER,Fear from chattering teeth triggers a plea for safety.,0.8,0.75
event/6e01ea97,event/43bcb6ef,PHYSICAL_DETERIORATION,"Nettle sting caused pain, leading to limping.",0.8,0.9
event/2870468f,event/6c6aba38,ANGER_MISPLACEMENT,The narrator's belief triggers the man's defensive reaction.,0.7,0.8
event/36504ca4,event/bc0bbd0f,COMMUNICATION_BARRIER,Difficulty in keeping the young man away hinders clear communication.,0.7,0.8
event/c4761f76,event/6ebeec43,IDENTITY_CONFLICT,Pip's name reflects his struggle with parental absence.,0.7,0.8
event/0a6e3f75,event/c02405c7,PHYSICAL_ACTION,Eluding suggests a physical movement towards the wall.,0.7,0.8
event/d40a45ee,event/8d9c7b4d,COMMUNICATION_BARRIER,Ambiguous phrase led to unclear instructions.,0.7,0.8
event/42ebf187,event/50e1756f,EMOTIONAL_TRIGGER,The emptiness of pockets evokes a sense of community support.,0.7,0.8
event/43bcb6ef,event/4e4735ab,EMOTIONAL_TRIGGER,The limp may trigger anger or frustration leading to a glare.,0.7,0.8
event/d8205350,event/c0c0ea2b,EMOTIONAL_TRIGGER,Danger perception triggered a physical response.,0.8,0.75
event/b17d766f,event/0d398d62,IDENTITY_CONFLICT,Pip's self-identification contrasts with his familial ties.,0.7,0.8
event/74ccc784,event/bcdb90bb,ANGER_MISPLACEMENT,Threatening behavior indicates misdirected anger.,0.8,0.9
event/c93a13e6,event/d83c9303,CONFUSES,The question creates ambiguity about familial relationships.,0.7,0.8
event/cde886cd,event/42ebf187,CONVENIENCE_PREFERENCE,Distance affects the choice of carrying items.,0.7,0.8
event/e47bc000,event/74763c3e,PRECEDES,Setting direction towards home occurs before seeing him by the river.,0.8,0.9
event/df67b8c3,event/13bb3b67,BELIEF_DISMISSAL,The narrator's belief about their brothers is challenged.,0.7,0.8
event/f83fad21,event/a0a78fa3,PHYSICAL_ACTION,Water exposure leads to mud accumulation on the man.,0.8,0.9
event/551fcc32,event/0a6e3f75,EMOTIONAL_TRIGGER,The imagery evokes feelings of fear and evasion.,0.8,0.85
event/c0c0ea2b,event/0bb472f7,CONFLICT_OF_INTEREST,Pip's position creates tension with the convict's demands.,0.7,0.8
event/7a5f0777,event/38afdaad,CONFUSES,The father's tombstone letters create a misunderstanding about the mother's appearance.,0.7,0.8
event/53a8df5d,event/d8205350,COMMUNICATION_BARRIER,Misunderstanding of the term created a feeling of danger.,0.7,0.8
event/1150011f,event/4555633c,COMMUNICATION_BARRIER,Conversation pursuit may highlight misunderstandings about the undertaking.,0.7,0.8
event/07ee8f41,event/ad3c2706,EMOTIONAL_TRIGGER,The sight of the gibbet triggered a strong emotional response.,0.8,0.9
event/77da28e9,event/971a9be1,EMOTIONAL_TRIGGER,Looking over the shoulder triggers emotional response in the observer.,0.7,0.8
event/c93a13e6,event/436ae544,EMOTIONAL_TRIGGER,The question triggered an emotional response leading to muttering.,0.7,0.8
event/dc857b80,event/1802e08c,PHYSICAL_ACTION,The man's action caused a physical reaction in the observer.,0.8,0.85
event/e47bc000,event/e176cf95,PHYSICAL_ACTION,Moving towards home involves using one's legs effectively.,0.8,0.9
event/77da28e9,event/9331dec2,PHYSICAL_SENSATION,Looking over the shoulder indicates awareness of physical discomfort.,0.7,0.8
event/50e1756f,event/2dc1096d,CULTURAL_EDUCATION,The church's self-awareness influences personal reflection on identity.,0.7,0.8
event/8cb71b31,event/c0c0ea2b,PHYSICAL_ACTION,The church's action caused a physical response in the speaker.,0.7,0.8
event/54497bfd,event/1a4d495b,EMOTIONAL_TRIGGER,The man's sudden action provokes a reaction in the little devil.,0.7,0.8
event/83d241cc,event/8d9c7b4d,REQUEST_ACCEPTANCE,The man's request led to an instruction for guidance.,0.8,0.9
event/cf519e83,event/bc0bbd0f,PHYSICAL_ACTION,Struggling to hold the boy leads to a verbal inquiry.,0.7,0.8
event/c15c5023,event/83d241cc,EMOTIONAL_TRIGGER,The man's stare prompted a request for information.,0.7,0.8
event/1aa70bc2,event/d3581bfa,EMOTIONAL_TRIGGER,The convict's statement triggers fear in the boy.,0.7,0.8
event/0dbcaeee,event/551fcc32,EMOTIONAL_SUPPORT,The hug provides comfort before his departure.,0.8,0.85
event/528b0aa9,event/ee56a4d3,NOSTALGIA_INDUCEMENT,Reflecting on parents evokes nostalgic feelings and memories.,0.8,0.85
event/d8205350,event/3e82d3ad,EMOTIONAL_TRIGGER,Danger evokes a threatening response from the character.,0.8,0.85
event/4555633c,event/06fa367b,EMOTIONAL_TRIGGER,Reminding triggered a whimsical desire for transformation.,0.7,0.6
event/0a6e3f75,event/1f311084,PHYSICAL_ACTION,Eluding suggests a physical movement over the wall.,0.8,0.75
event/27304873,event/479606d4,NOSTALGIA_INDUCEMENT,"Reflection triggers memories of past events, including death.",0.7,0.8
event/68c6b052,event/9b820157,EMOTIONAL_TRIGGER,The man's gaze triggers the narrator's fear.,0.8,0.9
event/72d4013c,event/18403b28,EMOTIONAL_TRIGGER,"The limping suggests pain, triggering a haunting emotional response.",0.7,0.8
event/b8ae0617,event/27304873,NOSTALGIA_INDUCEMENT,The river's path triggers memories of the narrator's past.,0.7,0.8
event/4a853fd7,event/e47bc000,PRECEDES,Looking for someone typically occurs before heading home.,0.8,0.85
event/4b2b7b04,event/634a0b39,PHYSICAL_DETERIORATION,The rag suggests injury leading to lameness.,0.7,0.8
event/cbb4ce81,event/b17d766f,NAMING_CONVENTION,Philip is a formal name; Pip is a nickname.,0.8,0.9
event/fb74b832,event/c0c0ea2b,PHYSICAL_ACTION,The action of holding caused the upright position.,0.8,0.9
